target_id,target_len
BACT000001_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_29,1155
BACT000001_Mycobacterium-123_tuberculosis-111|avium-7|intracellulare-5_Mycobacterium-tuberculosis-111|Mycobacterium-avium-7|Mycobacterium-intracellulare-5_30,1446
BACT000001_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_31,1683
BACT000001_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_32,1158
BACT000001_Chlamydia-6_psittaci-6_Chlamydia-psittaci-6_33,1756
BACT000001_Burkholderia-2_cepacia-2_Burkholderia-cepacia-2_34,1713
BACT000001_Escherichia-306|Klebsiella-110|Enterobacter-77|Serratia-35_coli-306|pneumoniae-94|cloacae-64|marcescens-35|oxytoca-16|aerogenes-13_Escherichia-coli-306|Klebsiella-pneumoniae-94|Enterobacter-cloacae-64|Serratia-marcescens-35|Klebsiella-oxytoca-16|Enterobacter-aerogenes-13_35,1674
BACT000001_Acinetobacter-127_baumannii-119|calcoaceticus-8_Acinetobacter-baumannii-119|Acinetobacter-calcoaceticus-8_36,1674
BACT000001_Brucella-22_NotDefined-22_Brucella-NotDefined-22_37,1701
BACT000001_Staphylococcus-472_aureus-472_Staphylococcus-aureus-472_38,1176
BACT000006_Mycobacterium-20_tuberculosis-20_Mycobacterium-tuberculosis-20_1,291
BACT000006_Leptospira-14_NotDefined-14_Leptospira-NotDefined-14_2,276
BACT000006_Streptococcus-1_agalactiae-1_Streptococcus-agalactiae-1_3,291
BACT000006_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_4,276
BACT000006_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_5,339
BACT000006_Chlamydophila-1_pneumoniae-1_Chlamydophila-pneumoniae-1_6,339
BACT000006_Nocardia-1_asteroides-1_Nocardia-asteroides-1_7,288
BACT000006_Pseudomonas-23_aeruginosa-23_Pseudomonas-aeruginosa-23_8,420
BACT000006_Bordetella-3_pertussis-3_Bordetella-pertussis-3_9,381
BACT000006_Listeria-8_monocytogenes-8_Listeria-monocytogenes-8_10,294
BACT000006_Haemophilus-23_influenzae-20|parainfluenzae-3_Haemophilus-influenzae-20|Haemophilus-parainfluenzae-3_11,378
BACT000006_Neisseria-55_meningitidis-55_Neisseria-meningitidis-55_12,369
BACT000006_Stenotrophomonas-12_maltophilia-12_Stenotrophomonas-maltophilia-12_13,438
BACT000006_Bartonella-1_henselae-1_Bartonella-henselae-1_14,408
BACT000006_Acinetobacter-17_baumannii-13|calcoaceticus-4_Acinetobacter-baumannii-13|Acinetobacter-calcoaceticus-4_15,384
BACT000006_Coxiella-5_burnetii-5_Coxiella-burnetii-5_16,384
BACT000006_Moraxella-2_catarrhalis-2_Moraxella-catarrhalis-2_17,402
BACT000006_Legionella-10_pneumophila-10_Legionella-pneumophila-10_18,339
BACT000006_Leptospira-6_NotDefined-6_Leptospira-NotDefined-6_19,276
BACT000006_Borrelia-9_burgdorferi-9_Borrelia-burgdorferi-9_20,420
BACT000006_Treponema-1_pallidum-1_Treponema-pallidum-1_21,282
BACT000006_Mycoplasma-2_pneumoniae-2_Mycoplasma-pneumoniae-2_22,648
BACT000006_Mycobacterium-10_avium-8|intracellulare-2_Mycobacterium-avium-8|Mycobacterium-intracellulare-2_23,291
BACT000006_Leptospira-13_NotDefined-13_Leptospira-NotDefined-13_24,276
BACT000006_Streptococcus-208_pneumoniae-91|mitis-47|oralis-26|pyogenes-26|pseudopneumoniae-10|agalactiae-8_Streptococcus-pneumoniae-91|Streptococcus-mitis-47|Streptococcus-oralis-26|Streptococcus-pyogenes-26|Streptococcus-pseudopneumoniae-10|Streptococcus-agalactiae-8_25,291
BACT000006_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_26,276
BACT000006_Chlamydia-2_psittaci-2_Chlamydia-psittaci-2_27,339
BACT000006_Escherichia-59|Klebsiella-19|Enterobacter-18|Serratia-7_coli-59|cloacae-16|pneumoniae-15|marcescens-7|oxytoca-4|aerogenes-2_Escherichia-coli-59|Enterobacter-cloacae-16|Klebsiella-pneumoniae-15|Serratia-marcescens-7|Klebsiella-oxytoca-4|Enterobacter-aerogenes-2_28,396
BACT000006_Burkholderia-2_cepacia-2_Burkholderia-cepacia-2_29,375
BACT000006_Staphylococcus-75_aureus-75_Staphylococcus-aureus-75_30,297
BACT000006_Brucella-10_NotDefined-10_Brucella-NotDefined-10_31,447
BACT000011_Streptococcus-1_agalactiae-1_Streptococcus-agalactiae-1_1,384
BACT000011_Leptospira-26_NotDefined-26_Leptospira-NotDefined-26_2,411
BACT000011_Mycobacterium-29_tuberculosis-29_Mycobacterium-tuberculosis-29_3,420
BACT000011_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_4,399
BACT000011_Haemophilus-21_influenzae-18|parainfluenzae-3_Haemophilus-influenzae-18|Haemophilus-parainfluenzae-3_5,390
BACT000011_Moraxella-2_catarrhalis-2_Moraxella-catarrhalis-2_6,393
BACT000011_Chlamydophila-1_pneumoniae-1_Chlamydophila-pneumoniae-1_7,402
BACT000011_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_8,408
BACT000011_Nocardia-1_asteroides-1_Nocardia-asteroides-1_9,414
BACT000011_Bordetella-1_pertussis-1_Bordetella-pertussis-1_10,402
BACT000011_Listeria-4_monocytogenes-4_Listeria-monocytogenes-4_11,390
BACT000011_Pseudomonas-14_aeruginosa-14_Pseudomonas-aeruginosa-14_12,390
BACT000011_Bartonella-1_henselae-1_Bartonella-henselae-1_13,390
BACT000011_Staphylococcus-66_aureus-66_Staphylococcus-aureus-66_14,390
BACT000011_Leptospira-7_NotDefined-7_Leptospira-NotDefined-7_15,414
BACT000011_Neisseria-13_meningitidis-13_Neisseria-meningitidis-13_16,396
BACT000011_Legionella-10_pneumophila-10_Legionella-pneumophila-10_17,399
BACT000011_Treponema-1_pallidum-1_Treponema-pallidum-1_18,381
BACT000011_Coxiella-4_burnetii-4_Coxiella-burnetii-4_19,372
BACT000011_Streptococcus-162_pneumoniae-61|mitis-47|oralis-26|pyogenes-14|pseudopneumoniae-10|agalactiae-4_Streptococcus-pneumoniae-61|Streptococcus-mitis-47|Streptococcus-oralis-26|Streptococcus-pyogenes-14|Streptococcus-pseudopneumoniae-10|Streptococcus-agalactiae-4_20,384
BACT000011_Leptospira-28_NotDefined-28_Leptospira-NotDefined-28_21,411
BACT000011_Mycobacterium-7_avium-5|intracellulare-2_Mycobacterium-avium-5|Mycobacterium-intracellulare-2_22,417
BACT000011_Chlamydia-3_psittaci-3_Chlamydia-psittaci-3_23,399
BACT000011_Escherichia-40|Enterobacter-18|Klebsiella-15|Serratia-8_coli-40|cloacae-15|pneumoniae-8|marcescens-8|oxytoca-7|aerogenes-3_Escherichia-coli-40|Enterobacter-cloacae-15|Klebsiella-pneumoniae-8|Serratia-marcescens-8|Klebsiella-oxytoca-7|Enterobacter-aerogenes-3_24,390
BACT000011_Acinetobacter-20_baumannii-17|calcoaceticus-3_Acinetobacter-baumannii-17|Acinetobacter-calcoaceticus-3_25,387
BACT000011_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_26,408
BACT000011_Burkholderia-2_cepacia-2_Burkholderia-cepacia-2_27,402
BACT000011_Stenotrophomonas-13_maltophilia-13_Stenotrophomonas-maltophilia-13_28,390
BACT000011_Brucella-8_NotDefined-8_Brucella-NotDefined-8_29,390
BACT000011_Borrelia-5_burgdorferi-5_Borrelia-burgdorferi-5_30,393
BACT000016_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_1,267
BACT000016_Mycobacterium-8_avium-8_Mycobacterium-avium-8_2,516
BACT000016_Streptococcus-6_agalactiae-6_Streptococcus-agalactiae-6_3,273
BACT000016_Leptospira-4_NotDefined-4_Leptospira-NotDefined-4_4,258
BACT000016_Leptospira-16_NotDefined-16_Leptospira-NotDefined-16_5,267
BACT000016_Stenotrophomonas-2_maltophilia-2_Stenotrophomonas-maltophilia-2_6,261
BACT000016_Streptococcus-1_agalactiae-1_Streptococcus-agalactiae-1_7,273
BACT000016_Mycobacterium-39_tuberculosis-39_Mycobacterium-tuberculosis-39_8,489
BACT000016_Streptococcus-160_pneumoniae-77|mitis-47|oralis-26|pseudopneumoniae-10_Streptococcus-pneumoniae-77|Streptococcus-mitis-47|Streptococcus-oralis-26|Streptococcus-pseudopneumoniae-10_9,273
BACT000016_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_10,267
BACT000016_Serratia-8_marcescens-8_Serratia-marcescens-8_11,249
BACT000016_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_12,360
BACT000016_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_13,267
BACT000016_Nocardia-1_asteroides-1_Nocardia-asteroides-1_14,438
BACT000016_Bordetella-1_pertussis-1_Bordetella-pertussis-1_15,261
BACT000016_Chlamydophila-2_pneumoniae-2_Chlamydophila-pneumoniae-2_16,360
BACT000016_Acinetobacter-13_baumannii-9|calcoaceticus-4_Acinetobacter-baumannii-9|Acinetobacter-calcoaceticus-4_17,252
BACT000016_Listeria-6_monocytogenes-6_Listeria-monocytogenes-6_18,273
BACT000016_Bartonella-2_henselae-2_Bartonella-henselae-2_19,384
BACT000016_Pseudomonas-16_aeruginosa-16_Pseudomonas-aeruginosa-16_20,252
BACT000016_Neisseria-24_meningitidis-24_Neisseria-meningitidis-24_21,246
BACT000016_Moraxella-1_catarrhalis-1_Moraxella-catarrhalis-1_22,249
BACT000016_Legionella-8_pneumophila-8_Legionella-pneumophila-8_23,261
BACT000016_Coxiella-2_burnetii-2_Coxiella-burnetii-2_24,414
BACT000016_Borrelia-3_burgdorferi-3_Borrelia-burgdorferi-3_25,261
BACT000016_Treponema-1_pallidum-1_Treponema-pallidum-1_26,372
BACT000016_Leptospira-14_NotDefined-14_Leptospira-NotDefined-14_27,267
BACT000016_Mycobacterium-5_intracellulare-5_Mycobacterium-intracellulare-5_28,522
BACT000016_Streptococcus-12_pyogenes-12_Streptococcus-pyogenes-12_29,273
BACT000016_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_30,258
BACT000016_Stenotrophomonas-11_maltophilia-11_Stenotrophomonas-maltophilia-11_31,261
BACT000016_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_32,267
BACT000016_Escherichia-38|Enterobacter-21|Klebsiella-17_coli-38|cloacae-20|pneumoniae-12|oxytoca-5|aerogenes-1_Escherichia-coli-38|Enterobacter-cloacae-20|Klebsiella-pneumoniae-12|Klebsiella-oxytoca-5|Enterobacter-aerogenes-1_33,249
BACT000016_Chlamydia-3_psittaci-3_Chlamydia-psittaci-3_34,360
BACT000016_Burkholderia-2_cepacia-2_Burkholderia-cepacia-2_35,255
BACT000016_Haemophilus-19_influenzae-16|parainfluenzae-3_Haemophilus-influenzae-16|Haemophilus-parainfluenzae-3_36,249
BACT000016_Staphylococcus-84_aureus-84_Staphylococcus-aureus-84_37,276
BACT000016_Brucella-11_NotDefined-11_Brucella-NotDefined-11_38,405
BACT000021_Streptococcus-1_agalactiae-1_Streptococcus-agalactiae-1_1,177
BACT000021_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_2,177
BACT000021_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_3,210
BACT000021_Chlamydophila-1_pneumoniae-1_Chlamydophila-pneumoniae-1_4,177
BACT000021_Listeria-2_monocytogenes-2_Listeria-monocytogenes-2_5,174
BACT000021_Bartonella-1_henselae-1_Bartonella-henselae-1_6,234
BACT000021_Leptospira-20_NotDefined-20_Leptospira-NotDefined-20_7,210
BACT000021_Pseudomonas-10_aeruginosa-10_Pseudomonas-aeruginosa-10_8,216
BACT000021_Moraxella-1_catarrhalis-1_Moraxella-catarrhalis-1_9,216
BACT000021_Leptospira-6_NotDefined-6_Leptospira-NotDefined-6_10,219
BACT000021_Haemophilus-14_influenzae-11|parainfluenzae-3_Haemophilus-influenzae-11|Haemophilus-parainfluenzae-3_11,216
BACT000021_Burkholderia-1_cepacia-1_Burkholderia-cepacia-1_12,213
BACT000021_Bordetella-1_pertussis-1_Bordetella-pertussis-1_13,213
BACT000021_Stenotrophomonas-7_maltophilia-7_Stenotrophomonas-maltophilia-7_14,216
BACT000021_Legionella-5_pneumophila-5_Legionella-pneumophila-5_15,240
BACT000021_Borrelia-4_burgdorferi-4_Borrelia-burgdorferi-4_16,210
BACT000021_Coxiella-2_burnetii-2_Coxiella-burnetii-2_17,225
BACT000021_Mycoplasma-1_pneumoniae-1_Mycoplasma-pneumoniae-1_18,183
BACT000021_Treponema-1_pallidum-1_Treponema-pallidum-1_19,210
BACT000021_Streptococcus-124_mitis-46|pneumoniae-30|oralis-26|pseudopneumoniae-10|pyogenes-7|agalactiae-5_Streptococcus-mitis-46|Streptococcus-pneumoniae-30|Streptococcus-oralis-26|Streptococcus-pseudopneumoniae-10|Streptococcus-pyogenes-7|Streptococcus-agalactiae-5_20,177
BACT000021_Chlamydia-2_psittaci-2_Chlamydia-psittaci-2_21,177
BACT000021_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_22,210
BACT000021_Staphylococcus-38_aureus-38_Staphylococcus-aureus-38_23,177
BACT000021_Brucella-2_NotDefined-2_Brucella-NotDefined-2_24,228
BACT000021_Escherichia-24|Klebsiella-11|Enterobacter-6|Serratia-4_coli-24|pneumoniae-7|cloacae-5|oxytoca-4|marcescens-4|aerogenes-1_Escherichia-coli-24|Klebsiella-pneumoniae-7|Enterobacter-cloacae-5|Klebsiella-oxytoca-4|Serratia-marcescens-4|Enterobacter-aerogenes-1_25,216
BACT000021_Acinetobacter-15_baumannii-12|calcoaceticus-3_Acinetobacter-baumannii-12|Acinetobacter-calcoaceticus-3_26,216
BACT000021_Neisseria-22_meningitidis-22_Neisseria-meningitidis-22_27,213
BACT000034_Leptospira-30_NotDefined-30_Leptospira-NotDefined-30_1,549
BACT000034_Leptospira-4_NotDefined-4_Leptospira-NotDefined-4_2,552
BACT000034_Streptococcus-1_agalactiae-1_Streptococcus-agalactiae-1_3,543
BACT000034_Mycobacterium-34_tuberculosis-34_Mycobacterium-tuberculosis-34_4,564
BACT000034_Streptococcus-206_pneumoniae-124|mitis-46|oralis-26|pseudopneumoniae-10_Streptococcus-pneumoniae-124|Streptococcus-mitis-46|Streptococcus-oralis-26|Streptococcus-pseudopneumoniae-10_5,543
BACT000034_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_6,549
BACT000034_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_7,540
BACT000034_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_8,549
BACT000034_Bordetella-1_pertussis-1_Bordetella-pertussis-1_9,540
BACT000034_Haemophilus-23_influenzae-20|parainfluenzae-3_Haemophilus-influenzae-20|Haemophilus-parainfluenzae-3_10,540
BACT000034_Chlamydophila-2_pneumoniae-2_Chlamydophila-pneumoniae-2_11,543
BACT000034_Nocardia-1_asteroides-1_Nocardia-asteroides-1_12,564
BACT000034_Listeria-11_monocytogenes-11_Listeria-monocytogenes-11_13,540
BACT000034_Pseudomonas-28_aeruginosa-28_Pseudomonas-aeruginosa-28_14,540
BACT000034_Moraxella-3_catarrhalis-3_Moraxella-catarrhalis-3_15,537
BACT000034_Bartonella-1_henselae-1_Bartonella-henselae-1_16,558
BACT000034_Stenotrophomonas-11_maltophilia-11_Stenotrophomonas-maltophilia-11_17,543
BACT000034_Coxiella-4_burnetii-4_Coxiella-burnetii-4_18,549
BACT000034_Legionella-14_pneumophila-14_Legionella-pneumophila-14_19,552
BACT000034_Treponema-1_pallidum-1_Treponema-pallidum-1_20,558
BACT000034_Mycoplasma-2_pneumoniae-2_Mycoplasma-pneumoniae-2_21,543
BACT000034_Leptospira-28_NotDefined-28_Leptospira-NotDefined-28_22,549
BACT000034_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_23,552
BACT000034_Streptococcus-42_pyogenes-33|agalactiae-9_Streptococcus-pyogenes-33|Streptococcus-agalactiae-9_24,543
BACT000034_Mycobacterium-13_avium-8|intracellulare-5_Mycobacterium-avium-8|Mycobacterium-intracellulare-5_25,564
BACT000034_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_26,552
BACT000034_Chlamydia-4_psittaci-4_Chlamydia-psittaci-4_27,543
BACT000034_Burkholderia-2_cepacia-2_Burkholderia-cepacia-2_28,540
BACT000034_Escherichia-43|Enterobacter-27|Klebsiella-17|Serratia-9_coli-43|cloacae-22|pneumoniae-12|marcescens-9|aerogenes-5|oxytoca-5_Escherichia-coli-43|Enterobacter-cloacae-22|Klebsiella-pneumoniae-12|Serratia-marcescens-9|Enterobacter-aerogenes-5|Klebsiella-oxytoca-5_29,540
BACT000034_Staphylococcus-130_aureus-130_Staphylococcus-aureus-130_30,540
BACT000034_Acinetobacter-24_baumannii-17|calcoaceticus-7_Acinetobacter-baumannii-17|Acinetobacter-calcoaceticus-7_31,537
BACT000034_Brucella-14_NotDefined-14_Brucella-NotDefined-14_32,558
BACT000034_Neisseria-28_meningitidis-28_Neisseria-meningitidis-28_33,540
BACT000034_Borrelia-3_burgdorferi-3_Borrelia-burgdorferi-3_34,549
BACT000040_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_1,429
BACT000040_Serratia-15_marcescens-15_Serratia-marcescens-15_2,429
BACT000040_Mycobacterium-31_tuberculosis-31_Mycobacterium-tuberculosis-31_3,429
BACT000040_Leptospira-27_NotDefined-27_Leptospira-NotDefined-27_4,429
BACT000040_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_5,426
BACT000040_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_6,429
BACT000040_Nocardia-1_asteroides-1_Nocardia-asteroides-1_7,435
BACT000040_Bordetella-1_pertussis-1_Bordetella-pertussis-1_8,432
BACT000040_Chlamydophila-2_pneumoniae-2_Chlamydophila-pneumoniae-2_9,426
BACT000040_Pseudomonas-38_aeruginosa-38_Pseudomonas-aeruginosa-38_10,432
BACT000040_Listeria-6_monocytogenes-6_Listeria-monocytogenes-6_11,426
BACT000040_Leptospira-7_NotDefined-7_Leptospira-NotDefined-7_12,426
BACT000040_Haemophilus-37_influenzae-34|parainfluenzae-3_Haemophilus-influenzae-34|Haemophilus-parainfluenzae-3_13,429
BACT000040_Streptococcus-221_pneumoniae-109|mitis-47|oralis-26|pyogenes-20|pseudopneumoniae-10|agalactiae-9_Streptococcus-pneumoniae-109|Streptococcus-mitis-47|Streptococcus-oralis-26|Streptococcus-pyogenes-20|Streptococcus-pseudopneumoniae-10|Streptococcus-agalactiae-9_14,426
BACT000040_Bartonella-2_henselae-2_Bartonella-henselae-2_15,429
BACT000040_Acinetobacter-21_baumannii-13|calcoaceticus-8_Acinetobacter-baumannii-13|Acinetobacter-calcoaceticus-8_16,429
BACT000040_Moraxella-3_catarrhalis-3_Moraxella-catarrhalis-3_17,432
BACT000040_Legionella-13_pneumophila-13_Legionella-pneumophila-13_18,435
BACT000040_Coxiella-4_burnetii-4_Coxiella-burnetii-4_19,438
BACT000040_Treponema-1_pallidum-1_Treponema-pallidum-1_20,441
BACT000040_Mycoplasma-1_pneumoniae-1_Mycoplasma-pneumoniae-1_21,414
BACT000040_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_22,429
BACT000040_Escherichia-78|Enterobacter-33|Klebsiella-23_coli-78|cloacae-26|pneumoniae-18|aerogenes-7|oxytoca-5_Escherichia-coli-78|Enterobacter-cloacae-26|Klebsiella-pneumoniae-18|Enterobacter-aerogenes-7|Klebsiella-oxytoca-5_23,429
BACT000040_Mycobacterium-5_avium-4|intracellulare-1_Mycobacterium-avium-4|Mycobacterium-intracellulare-1_24,429
BACT000040_Leptospira-27_NotDefined-27_Leptospira-NotDefined-27_25,429
BACT000040_Chlamydia-4_psittaci-4_Chlamydia-psittaci-4_26,426
BACT000040_Burkholderia-2_cepacia-2_Burkholderia-cepacia-2_27,432
BACT000040_Stenotrophomonas-13_maltophilia-13_Stenotrophomonas-maltophilia-13_28,429
BACT000040_Staphylococcus-130_aureus-130_Staphylococcus-aureus-130_29,423
BACT000040_Brucella-9_NotDefined-9_Brucella-NotDefined-9_30,429
BACT000040_Neisseria-38_meningitidis-38_Neisseria-meningitidis-38_31,435
BACT000040_Borrelia-5_burgdorferi-5_Borrelia-burgdorferi-5_32,432
BACT000046_Streptococcus-150_pneumoniae-67|mitis-47|oralis-26|pseudopneumoniae-10_Streptococcus-pneumoniae-67|Streptococcus-mitis-47|Streptococcus-oralis-26|Streptococcus-pseudopneumoniae-10_1,387
BACT000046_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_2,516
BACT000046_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_3,540
BACT000046_Streptococcus-32_pyogenes-21|agalactiae-11_Streptococcus-pyogenes-21|Streptococcus-agalactiae-11_4,387
BACT000046_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_5,519
BACT000046_Leptospira-16_NotDefined-16_Leptospira-NotDefined-16_6,498
BACT000046_Mycobacterium-8_avium-8_Mycobacterium-avium-8_7,561
BACT000046_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_8,519
BACT000046_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_9,429
BACT000046_Leptospira-24_NotDefined-24_Leptospira-NotDefined-24_10,516
BACT000046_Chlamydophila-2_pneumoniae-2_Chlamydophila-pneumoniae-2_11,429
BACT000046_Pseudomonas-25_aeruginosa-25_Pseudomonas-aeruginosa-25_12,390
BACT000046_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_13,594
BACT000046_Mycobacterium-40_tuberculosis-40_Mycobacterium-tuberculosis-40_14,543
BACT000046_Escherichia-55|Klebsiella-29|Enterobacter-27|Serratia-4_coli-55|cloacae-25|pneumoniae-21|oxytoca-8|marcescens-4|aerogenes-2_Escherichia-coli-55|Enterobacter-cloacae-25|Klebsiella-pneumoniae-21|Klebsiella-oxytoca-8|Serratia-marcescens-4|Enterobacter-aerogenes-2_15,384
BACT000046_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_16,570
BACT000046_Bordetella-2_pertussis-2_Bordetella-pertussis-2_17,396
BACT000046_Nocardia-1_asteroides-1_Nocardia-asteroides-1_18,513
BACT000046_Listeria-9_monocytogenes-9_Listeria-monocytogenes-9_19,408
BACT000046_Moraxella-3_catarrhalis-3_Moraxella-catarrhalis-3_20,360
BACT000046_Bartonella-1_henselae-1_Bartonella-henselae-1_21,429
BACT000046_Coxiella-3_burnetii-3_Coxiella-burnetii-3_22,381
BACT000046_Neisseria-17_meningitidis-17_Neisseria-meningitidis-17_23,369
BACT000046_Legionella-13_pneumophila-13_Legionella-pneumophila-13_24,384
BACT000046_Treponema-1_pallidum-1_Treponema-pallidum-1_25,495
BACT000046_Mycoplasma-1_pneumoniae-1_Mycoplasma-pneumoniae-1_26,330
BACT000046_Streptococcus-3_pneumoniae-3_Streptococcus-pneumoniae-3_27,387
BACT000046_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_28,516
BACT000046_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_29,504
BACT000046_Leptospira-11_NotDefined-11_Leptospira-NotDefined-11_30,498
BACT000046_Mycobacterium-5_intracellulare-5_Mycobacterium-intracellulare-5_31,657
BACT000046_Chlamydia-2_psittaci-2_Chlamydia-psittaci-2_32,429
BACT000046_Stenotrophomonas-17_maltophilia-17_Stenotrophomonas-maltophilia-17_33,384
BACT000046_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_34,585
BACT000046_Haemophilus-21_influenzae-17|parainfluenzae-4_Haemophilus-influenzae-17|Haemophilus-parainfluenzae-4_35,387
BACT000046_Burkholderia-2_cepacia-2_Burkholderia-cepacia-2_36,396
BACT000046_Staphylococcus-74_aureus-74_Staphylococcus-aureus-74_37,369
BACT000046_Acinetobacter-17_baumannii-13|calcoaceticus-4_Acinetobacter-baumannii-13|Acinetobacter-calcoaceticus-4_38,378
BACT000046_Brucella-10_NotDefined-10_Brucella-NotDefined-10_39,429
BACT000046_Borrelia-6_burgdorferi-6_Borrelia-burgdorferi-6_40,372
BACT000051_Leptospira-20_NotDefined-20_Leptospira-NotDefined-20_1,333
BACT000051_Streptococcus-1_pneumoniae-1_Streptococcus-pneumoniae-1_2,345
BACT000051_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_3,333
BACT000051_Streptococcus-25_pyogenes-16|agalactiae-9_Streptococcus-pyogenes-16|Streptococcus-agalactiae-9_4,345
BACT000051_Mycobacterium-36_tuberculosis-36_Mycobacterium-tuberculosis-36_5,594
BACT000051_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_6,336
BACT000051_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_7,333
BACT000051_Chlamydophila-3_pneumoniae-3_Chlamydophila-pneumoniae-3_8,336
BACT000051_Haemophilus-17_influenzae-15|parainfluenzae-2_Haemophilus-influenzae-15|Haemophilus-parainfluenzae-2_9,333
BACT000051_Burkholderia-1_cepacia-1_Burkholderia-cepacia-1_10,330
BACT000051_Moraxella-1_catarrhalis-1_Moraxella-catarrhalis-1_11,330
BACT000051_Bartonella-1_henselae-1_Bartonella-henselae-1_12,390
BACT000051_Listeria-12_monocytogenes-12_Listeria-monocytogenes-12_13,357
